Date, Open, High, Low, Close, Volume
09/27/21, 33.95, 33.95, 33.65, 33.90, 6644200
09/24/21, 33.80, 34.35, 33.75, 33.95, 4167500
09/23/21, 33.15, 33.90, 33.10, 33.65, 6915700
09/22/21, 33.00, 33.60, 32.85, 32.85, 4396400
09/21/21, 32.60, 33.25, 32.50, 33.10, 7954200
09/20/21, 33.50, 33.50, 32.70, 32.95, 3340000
09/17/21, 33.30, 33.50, 32.65, 33.50, 17989400
09/16/21, 33.10, 33.35, 32.90, 33.30, 4997400
09/15/21, 33.60, 33.90, 32.60, 32.60, 11272100
09/14/21, 33.75, 34.15, 33.60, 33.60, 4806500
09/13/21, 34.40, 34.40, 33.75, 33.75, 3925000
09/10/21, 34.10, 34.50, 33.90, 34.50, 3903800
09/09/21, 33.50, 34.10, 33.20, 34.10, 5082100
09/08/21, 33.30, 33.80, 32.65, 33.80, 11840800
09/07/21, 34.00, 34.00, 33.30, 33.45, 4815100
09/06/21, 33.15, 33.80, 33.15, 33.80, 1934300
09/03/21, 33.25, 33.45, 33.05, 33.10, 7053500
09/02/21, 33.50, 33.75, 33.15, 33.15, 6292000
09/01/21, 33.50, 34.05, 33.05, 33.05, 8735900
08/31/21, 33.70, 33.90, 32.65, 33.75, 19090400
08/27/21, 34.20, 34.20, 33.50, 33.50, 4368000
08/26/21, 34.10, 34.45, 34.05, 34.30, 5623300
08/25/21, 33.70, 34.00, 33.55, 34.00, 7248100
08/24/21, 33.70, 33.80, 33.40, 33.70, 5199500
08/23/21, 34.80, 35.00, 33.20, 33.20, 6870600
08/20/21, 34.75, 35.20, 34.70, 34.70, 6545300
08/19/21, 34.05, 34.75, 33.60, 34.75, 5557000
08/18/21, 32.95, 34.05, 32.95, 34.05, 5323300
08/17/21, 32.85, 33.40, 32.85, 32.85, 10467300
08/16/21, 32.30, 33.05, 32.30, 32.80, 9794600
08/13/21, 33.35, 33.55, 31.70, 31.70, 17686500
08/12/21, 34.20, 34.20, 33.15, 33.35, 5168500
08/11/21, 33.20, 34.25, 33.20, 34.20, 16054000
08/10/21, 33.80, 33.80, 32.90, 33.20, 6395500
08/09/21, 32.75, 33.80, 32.40, 33.80, 9735200
08/06/21, 32.80, 32.80, 32.25, 32.30, 13219200
08/05/21, 33.45, 33.45, 32.45, 32.50, 11442300
08/04/21, 33.80, 33.80, 33.30, 33.30, 8892200
08/03/21, 33.85, 33.95, 33.15, 33.80, 13255000
08/02/21, 33.00, 34.00, 32.90, 34.00, 2455000
07/30/21, 35.00, 35.00, 32.70, 32.70, 12663000
07/29/21, 34.50, 35.15, 33.80, 35.15, 8509300
07/28/21, 33.80, 34.05, 33.15, 34.05, 11649200
07/27/21, 32.55, 33.85, 32.55, 33.85, 9157100
07/26/21, 33.05, 33.75, 32.50, 32.50, 6480000
07/23/21, 34.25, 34.75, 33.15, 33.15, 9074700
07/22/21, 34.30, 35.00, 34.05, 34.05, 7208100
07/21/21, 34.40, 34.60, 33.75, 34.30, 11166300
07/19/21, 35.10, 35.10, 34.10, 34.10, 6665200
07/16/21, 35.50, 36.10, 35.20, 35.50, 6702500
07/15/21, 35.85, 35.90, 35.50, 35.50, 7585900
07/14/21, 35.55, 35.95, 35.35, 35.95, 8543900
07/13/21, 36.90, 36.90, 35.65, 35.65, 7817700
07/12/21, 36.00, 37.00, 35.90, 36.95, 6670400
07/09/21, 36.10, 36.30, 35.15, 36.00, 13774000
07/08/21, 36.35, 36.65, 36.10, 36.10, 10335600
07/07/21, 36.75, 36.90, 36.30, 36.35, 4051200
07/06/21, 37.40, 37.40, 36.65, 36.80, 3255500
07/05/21, 36.70, 37.20, 36.70, 37.20, 1867700
07/02/21, 36.70, 36.95, 36.35, 36.90, 2887800
07/01/21, 36.25, 37.40, 36.25, 36.50, 10485300
06/30/21, 36.20, 36.45, 36.05, 36.05, 13735500
06/29/21, 36.75, 37.00, 36.15, 36.15, 11190000
06/28/21, 37.00, 37.35, 36.70, 36.70, 7503600
06/25/21, 37.15, 37.50, 36.90, 37.00, 9963600
06/24/21, 37.80, 37.80, 36.80, 37.10, 9335400
06/23/21, 36.90, 37.90, 36.90, 37.90, 5576400
06/22/21, 36.50, 37.25, 36.45, 36.85, 6567900
06/21/21, 36.00, 36.65, 35.80, 36.50, 6263700
06/18/21, 36.70, 36.85, 36.00, 36.00, 26411000
06/17/21, 37.40, 37.40, 36.60, 36.65, 9864700
06/16/21, 37.10, 37.65, 37.05, 37.65, 11208900
06/15/21, 37.15, 37.25, 36.65, 37.10, 10793400
06/14/21, 38.20, 38.20, 36.90, 37.05, 9089600
06/11/21, 37.70, 38.30, 37.65, 38.30, 7137000
06/10/21, 38.30, 38.35, 37.55, 37.70, 24411199
06/09/21, 36.95, 38.30, 36.90, 38.30, 15343900
06/08/21, 36.50, 36.95, 36.10, 36.95, 6456400
06/07/21, 36.65, 36.70, 35.80, 36.30, 7407600
06/04/21, 36.60, 36.75, 36.10, 36.40, 11151600
06/03/21, 36.70, 36.70, 36.05, 36.50, 14016700
06/02/21, 35.05, 36.95, 34.90, 36.95, 23316900
06/01/21, 33.90, 35.00, 33.50, 35.00, 7723100
