Date, Open, High, Low, Close, Volume
8/12/2022,97.417,99.5,96.583,98.583,3885192.095
8/11/2022,95,97.667,94.25,96.583,4263252.104
8/10/2022,95.833,96.167,93.583,94,1296972.032
8/9/2022,98.25,98.333,95.833,95.833,5607120.137
8/8/2022,97.417,99,97.167,98.25,2382228.058
8/5/2022,98.333,99.667,96.333,97.417,3499584.085
8/4/2022,97.5,98.917,97.083,98.917,7072704.173
8/3/2022,94.917,97.75,94.333,97.75,3139644.077
8/2/2022,95.167,95.417,91.833,93.833,2244900.055
8/1/2022,98.75,99.167,94.833,94.833,2012112.049
07/29/22,99.417,100.333,98.5,99.583,2616480.064
07/28/22,97.917,99.5,97.833,99.5,3984024.097
07/27/22,95.833,97.583,95.417,97.5,9325056.228
07/26/22,97.083,97.583,94.667,95,645648.0158
07/25/22,97.917,99.167,96,96.333,2722404.066
07/22/22,99.583,101.25,99.333,101,3310860.081
07/21/22,98.333,100.833,97.917,100.833,2289072.056
07/20/22,98.5,99.667,97.75,98.333,1576452.038
07/19/22,98.917,100.667,97.917,97.917,4545420.111
07/18/22,99.083,100.833,98.583,100.833,2152944.053
07/15/22,102.083,102.25,99.583,100.583,1850952.045
07/14/22,100.083,102.5,99.333,102.5,2200224.054
07/13/22,101.583,101.583,99.25,99.917,1507644.037
7/12/2022,99.583,101.667,99.583,101.667,5541588.135
7/11/2022,100,100.833,98.417,99.833,3426480.084
7/8/2022,98.5,101.667,98.333,99,2176296.053
7/7/2022,99.167,101.5,96.917,96.917,1956540.048
7/6/2022,99.083,99.667,97.917,99.583,2335368.057
7/5/2022,96.25,98.917,96.25,98.917,3426648.084
7/4/2022,94.167,97.417,93.917,96.25,5216376.127
7/1/2022,92.5,95.667,92.5,93.417,3405576.083
06/30/22,95.833,96.5,92.083,92.083,6173652.151
06/29/22,97.167,97.833,95.25,95.25,2031480.05
06/28/22,98.333,98.417,95.167,97.083,3205356.078
06/27/22,99.417,99.917,98.417,98.417,2382648.058
06/24/22,97.25,98.917,97.083,98.167,1271928.031
06/23/22,100.083,101.333,96.75,97.083,1789104.044
06/22/22,102.5,102.667,100,100,772164.0188
06/21/22,102.083,103.25,101.667,102.5,2833860.069
06/20/22,101.667,103,101.583,102.333,1868652.046
06/17/22,101.5,102.333,100.833,100.833,1768872.043
06/16/22,102.5,104.083,101.917,103.167,2323440.057
06/15/22,103.333,105,101.083,101.083,2723556.066
06/14/22,103.167,105,103,103.667,2946384.072
06/13/22,104.667,105.5,102.917,103.917,1462416.036
6/10/2022,106.667,107.417,105,105,2217648.054
6/9/2022,107.083,108.167,107,108.167,2208360.054
6/8/2022,106.75,108.667,106.75,107.5,1515684.037
6/7/2022,107.5,108.25,106.583,106.917,1368792.033
6/6/2022,107,108.167,106.25,107.5,2474484.06
6/3/2022,106.75,107.917,106.417,107.083,1762332.043
6/2/2022,109.917,109.917,106.583,106.75,19909835.29
6/1/2022,110,110.75,107,109.917,2525364.062
05/31/22,108.333,111.167,106.417,111.167,3023820.074
05/30/22,106,109.5,105,108.417,3753660.092
05/27/22,103.333,106.083,102.917,106.083,4046808.099
05/26/22,102.5,103.25,102.083,102.667,5610576.137
05/25/22,102.5,104,102.25,102.25,3898608.095
05/24/22,106.583,107,102.917,102.917,3323592.081
05/23/22,107.5,108.333,105.667,105.667,4163568.102
05/20/22,109.833,110.583,107.417,107.417,3002568.073
05/19/22,105.75,110.083,104.667,109.833,5644800.138
05/18/22,105.083,106.833,104.667,105.833,2277708.056
05/17/22,104.583,106.167,104.417,105.417,4384092.107
05/16/22,104.667,105.917,104.667,105,4774980.117
05/13/22,105.75,107.25,104.333,104.333,3560292.087
5/12/2022,107.5,109.917,105.583,105.583,4923348.12
5/11/2022,106.25,109.75,105.417,107.5,3698736.09
5/10/2022,105,108.667,104.25,107.5,1911996.047
5/6/2022,106.667,107.75,105.833,106.667,2843340.069
5/5/2022,106.667,107.917,106.667,107.5,1550184.038
5/4/2022,106.833,107.333,104.167,106.5,2786952.068
5/2/2022,108.333,108.333,106.083,106.667,4388124.107
04/29/22,110.5,110.5,108.333,108.333,2428872.059
04/28/22,107.083,110.667,105.75,110.5,1338612.033
04/27/22,109.417,109.917,107,107,2593536.063
04/26/22,110,110.75,109.167,109.167,5360328.131
04/25/22,112.083,112.333,109.25,110.833,3777300.092
04/22/22,112.25,114.583,112,112.5,3044160.074
04/21/22,110.417,113.083,109.167,112.5,2645436.065
04/20/22,108.333,110.417,108.333,110.417,1376484.034
04/19/22,109.583,110.417,108.167,108.167,1551048.038
04/18/22,108.583,109.583,107.5,107.833,2215440.054
04/13/22,107.5,107.833,107,107.083,901764.022
