Sport,Discipline,Event,Event_gender,Athlete_Name,Gender,Country_ID,Bronze,Silver,Gold
Volleyball,Volleyball,volleyball,W,"AKHAMINOVA, Elena",Women,URS,0,0,1
Athletics,Athletics,shot put,M,"BEYER, Udo",Men,GDR,1,0,0
Handball,Handball,handball,W,"HEINECKE, Birgit",Women,GDR,1,0,0
Canoe / Kayak,Canoe / Kayak F,C-2 500m (canoe double),M,"PATZAICHIN, Ivan",Men,ROU,0,1,0
Boxing,Boxing,- 48kg (light-flyweight),M,"LI, Byong Uk",Men,PRK,1,0,0
Fencing,Fencing,foil team,M,"BONIN, Philippe",Men,FRA,0,0,1
Football,Football,football,M,"ROMANTSEV, Oleg",Men,URS,1,0,0
Gymnastics,Artistic G.,team competition,M,"AZARIAN, Eduard",Men,URS,0,0,1
Handball,Handball,handball,M,"ISHCHENKO, Mikhail",Men,URS,0,1,0
Handball,Handball,handball,M,"SCHMIDT, Wieland",Men,GDR,0,0,1
Aquatics,Swimming,100m butterfly,M,"PYTTEL, Roger",Men,GDR,0,1,0
Rowing,Rowing,four-oared shell with coxswain (4-),W,"SEMENOVA, Svetlana",Women,URS,1,0,0
Equestrian,Eventing,team,X,BOMBONA,Women,MEX,1,0,0
Sailing,Sailing,Tornado - Multihull,X,"KJERGARD, Per",Men,DEN,0,1,0
Gymnastics,Artistic G.,vault,W,"RÜHN, Melita",Women,ROU,1,0,0
Hockey,Hockey,hockey,M,"CABOT DURAN, Ricardo",Men,ESP,0,1,0
Rowing,Rowing,eight with coxswain (8+),M,"WHITWELL, Allan",Men,GBR,0,1,0
Hockey,Hockey,hockey,W,"FROLOVA, Liudmila",Women,URS,1,0,0
Athletics,Athletics,discus throw,M,"RASHCHUPKIN, Viktor",Men,URS,0,0,1
Aquatics,Swimming,4x200m freestyle relay,M,"GRABS, Detlev",Men,GDR,0,1,0
Rowing,Rowing,eight with coxswain (8+),W,"METZE, Karin",Women,GDR,0,0,1
Football,Football,football,M,"SREINER, Zdenek",Men,TCH,0,0,1
Sailing,Sailing,single-handed dinghy (Finn),M,"MAYRHOFER, Wolfgang",Men,AUT,0,1,0
Rowing,Rowing,eight with coxswain (8+),W,"FRINTU, Rodica",Women,ROU,1,0,0
Handball,Handball,handball,W,"STRECHEN, Sigita",Women,URS,0,0,1
Judo,Judo,- 60 kg,M,"EMIZH, Arambi",Men,URS,1,0,0
Rowing,Rowing,quadruple sculls with coxswain (4x),W,"PUSTOVIT, Antonina",Women,URS,0,1,0
Gymnastics,Artistic G.,vault,M,"DITYATIN, Aleksandr",Men,URS,0,1,0
Basketball,Basketball,basketball,W,"PERAZIC, Jasmina",Women,YUG,1,0,0
Rowing,Rowing,quadruple sculls with coxswain (4x),W,"PLOCH, Jutta",Women,GDR,0,0,1
Modern Pentathlon,Modern Pentath.,Team competition,M,"LIPEEV, Evgeni",Men,URS,0,0,1
Canoe / Kayak,Canoe / Kayak F,K-2 1000m (kayak double),M,"RAMOS MISIONE, Luis Gregorio",Men,ESP,1,0,0
Handball,Handball,handball,W,"MATZ, Evelyn",Women,GDR,1,0,0
Rowing,Rowing,coxless pair (2-),M,"PIMENOV, Nikolai",Men,URS,0,1,0
Rowing,Rowing,eight with coxswain (8+),W,"FROLOVA, Nina",Women,URS,0,1,0
Equestrian,Jumping,team,X,LADY MIRKA,Women,MEX,1,0,0
Basketball,Basketball,basketball,W,"IVINSKAIA, Tatiana",Women,URS,0,0,1
Cycling,Cycling Track,Team Pursuit (4000m),M,"PETRAKOV, Vitali",Men,URS,0,0,1
Wrestling,Wrestling Gre-R,74 - 82kg (middleweight),M,"DOLGOWICZ, Jan",Men,POL,0,1,0
Hockey,Hockey,hockey,W,"HAJKOVA, Jirina",Women,TCH,0,1,0
Volleyball,Volleyball,volleyball,M,"MANOLE, Viorel",Men,ROU,1,0,0
Hockey,Hockey,hockey,W,"STEWART, Anthea Doreen",Women,ZIM,0,0,1
Canoe / Kayak,Canoe / Kayak F,C-2 1000m (canoe double),M,"YURCHENKO, Vasili",Men,URS,1,0,0
Football,Football,football,M,"CHELEBADZE, Revaz",Men,URS,1,0,0
Rowing,Rowing,double sculls (2x),M,"STANULOV, Milorad",Men,YUG,0,1,0
Basketball,Basketball,basketball,M,"VECCHIATIO, Renzo",Men,ITA,0,1,0
Basketball,Basketball,basketball,M,"ZIZIC, Rajko",Men,YUG,0,0,1
Fencing,Fencing,foil team,M,"ROBAK, Adam",Men,POL,1,0,0
Athletics,Athletics,400m hurdles,M,"ARKHIPENKO, Vasili",Men,URS,0,1,0
Equestrian,Eventing,individual,X,"ROMAN, Federico Euro",Men,ITA,0,0,1
Volleyball,Volleyball,volleyball,M,"ANGELOV, Yordan",Men,BUL,0,1,0
Equestrian,Eventing,team,X,"CASAGRANDE, Anna",Women,ITA,0,1,0
Equestrian,Jumping,team,X,"VALDES LACARRA, Alberto",Men,MEX,1,0,0
Athletics,Athletics,4x100m relay,W,"MÜLLER, Romy",Women,GDR,0,0,1
Aquatics,Swimming,100m backstroke,W,"RIEDEL, Petra",Women,GDR,1,0,0
Canoe / Kayak,Canoe / Kayak F,K-4 1000m (kayak four),M,"HELM, Rüdiger",Men,GDR,0,0,1
Volleyball,Volleyball,volleyball,M,"ERMILOV, Aleksandr",Men,URS,0,0,1
Rowing,Rowing,four-oared shell with coxswain (4-),W,"SOVETNIKOVA, Galina",Women,URS,1,0,0
Volleyball,Volleyball,volleyball,W,"HEIM, Andrea",Women,GDR,0,1,0
Aquatics,Swimming,4x100m medley relay,W,"JAMESON, Helen",Women,GBR,0,1,0
Equestrian,Dressage,team,X,"VELIKU, Dumitru",Men,ROU,1,0,0
Volleyball,Volleyball,volleyball,W,"BORISOVA, Verka",Women,BUL,1,0,0
Rowing,Rowing,eight with coxswain (8+),M,"NORMANTAS, Ionas",Men,URS,1,0,0
Sailing,Sailing,fleet/match race keelboat open (Soling),X,"BANDOLOWSKI, Valdemar",Men,DEN,0,0,1
Cycling,Cycling Track,Individual Pursuit,M,"BONDUE, Alain",Men,FRA,0,1,0
Boxing,Boxing,54 - 57kg (featherweight),M,"RYBAKOV, Viktor",Men,URS,1,0,0
Shooting,Shooting,50m rifle prone (60 shots),X,"VARGA, Karoly",Men,HUN,0,0,1
Sailing,Sailing,470 - Two Person Dinghy,M,"LINDGREN, Jouko",Men,FIN,1,0,0
Handball,Handball,handball,M,"DREIBRODT, Gunter",Men,GDR,0,0,1
Hockey,Hockey,hockey,M,"BASKARAN, Baskaran",Men,IND,0,0,1
Rowing,Rowing,eight with coxswain (8+),W,"KNETSCH-KÖPKE, Christiane",Women,GDR,0,0,1
Handball,Handball,handball,W,"DJURICA, Mirjana",Women,YUG,0,1,0
Wrestling,Wrestling Free.,- 48kg (light-flyweight),M,"JANG, Se Hong",Men,PRK,0,1,0
Aquatics,Swimming,1500m freestyle,M,"CHAEV, Aleksandr",Men,URS,0,1,0
Wrestling,Wrestling Gre-R,+ 100kg (super heavyweight),M,"KOLCHINSKY, Aleksandr",Men,URS,0,0,1
Athletics,Athletics,long jump,M,"PASCHEK, Frank",Men,GDR,0,1,0
Rowing,Rowing,four-oared shell with coxswain (4-),M,"KUBIAK, Ryszard",Men,POL,1,0,0
Football,Football,football,M,"SEMAN, Stanislav",Men,TCH,0,0,1
Rowing,Rowing,quadruple sculls without coxswain (4x),M,"PETROV, Liubomir",Men,BUL,1,0,0
Canoe / Kayak,Canoe / Kayak F,C-1 500m (canoe single),M,"POSTREKHIN, Sergei",Men,URS,0,0,1
Aquatics,Swimming,4x100m medley relay,M,"TONELLI, Mark",Men,AUS,0,0,1
Weightlifting,Weightlifting,"75 - 82.5kg, total (light-heavyweight)",M,"VARDANIAN, Yurik",Men,URS,0,0,1
Rowing,Rowing,four-oared shell with coxswain (4-),W,"STUDNEVA, Marina",Women,URS,1,0,0
Aquatics,Water polo,water polo,M,"RUDIC, Ratko",Men,YUG,0,1,0
Judo,Judo,60 - 65kg (half-lightweight),M,"PAWLOWSKI, Janusz",Men,POL,1,0,0
Equestrian,Dressage,team,X,"KOVSHOV, Yuri",Men,URS,0,0,1
Rowing,Rowing,eight with coxswain (8+),W,"BOESLER, Martina",Women,GDR,0,0,1
Fencing,Fencing,épée team,M,"PICOT, Patrick",Men,FRA,0,0,1
Judo,Judo,- 60 kg,M,"REY, Thierry",Men,FRA,0,0,1
Rowing,Rowing,four-oared shell with coxswain (4-),W,"FILIPOVA, Nadezhda",Women,BUL,0,1,0
Rowing,Rowing,pair without coxswain (2-),W,"STEINDORF, Ute",Women,GDR,0,0,1
Handball,Handball,handball,W,"WUNDERLICH, Claudia",Women,GDR,1,0,0
Modern Pentathlon,Modern Pentath.,Team competition,M,"SZOMBATHELYI, Tamas",Men,HUN,0,1,0
Fencing,Fencing,foil team,M,"BOSCHERIE, Bruno",Men,FRA,0,0,1
Volleyball,Volleyball,volleyball,W,"WESTENDORF, Anke",Women,GDR,0,1,0
Aquatics,Water polo,water polo,M,"SUDAR, Attila",Men,HUN,1,0,0
Aquatics,Swimming,4x100m medley relay,M,"SMITH, Martin",Men,GBR,1,0,0
Canoe / Kayak,Canoe / Kayak F,K-4 1000m (kayak four),M,"MANEV, Ivan",Men,BUL,1,0,0
Equestrian,Jumping,team,X,"PEREZ DE LA HERAS, Joaquin",Men,MEX,1,0,0
Athletics,Athletics,high jump,M,"WSZOLA, Jacek",Men,POL,0,1,0
Rowing,Rowing,four without coxswain (4-),M,"KAMKIN, Aleksei",Men,URS,0,1,0
